depth,time,nodes,prunes
1,0.003998279571533203,8,0
1,0.004006385803222656,9,0
1,0.002994537353515625,8,0
1,0.0029692649841308594,8,0
1,0.00299835205078125,10,0
1,0.0029997825622558594,8,0
1,0.0030498504638671875,8,0
1,0.003019094467163086,8,0
1,0.003609180450439453,7,0
1,0.001996278762817383,7,0
1,0.0020110607147216797,7,0
1,0.001995563507080078,7,0
1,0.002543926239013672,8,0
1,0.003240346908569336,6,0
1,0.0021245479583740234,8,0
1,0.0029871463775634766,7,0
1,0.0029938220977783203,8,0
1,0.0019974708557128906,8,0
1,0.0019655227661132812,7,0
1,0.002022266387939453,8,0
1,0.002010345458984375,9,0
1,0.001997709274291992,8,0
1,0.0009975433349609375,7,0
1,0.001913309097290039,8,0
1,0.0029990673065185547,9,0
1,0.0010106563568115234,7,0
1,0.001003265380859375,7,0
1,0.0010297298431396484,7,0
1,0.00099945068359375,7,0
1,0.000997781753540039,7,0
1,0.0010166168212890625,7,0
1,0.001081705093383789,5,0
1,0.0010819435119628906,4,0
1,0.0010001659393310547,6,0
1,0.0009911060333251953,5,0
2,0.024142980575561523,21,6
2,0.02290630340576172,22,6
2,0.02299642562866211,22,6
2,0.017996788024902344,23,4
2,0.01951146125793457,18,5
2,0.01599884033203125,17,5
2,0.010994672775268555,15,4
2,0.020067930221557617,22,4
2,0.014018774032592773,16,4
2,0.009035825729370117,21,3
2,0.021356821060180664,31,3
2,0.012001514434814453,16,5
2,0.006979942321777344,19,1
2,0.020516395568847656,23,5
2,0.016005516052246094,26,5
2,0.016513347625732422,23,5
2,0.017023563385009766,25,6
2,0.023006916046142578,41,8
2,0.013994216918945312,34,6
2,0.022004365921020508,33,5
2,0.026012420654296875,40,8
2,0.019994735717773438,33,8
2,0.01099705696105957,26,6
2,0.021987438201904297,34,7
2,0.018996000289916992,38,8
2,0.022031068801879883,46,9
2,0.01200723648071289,32,6
2,0.01999187469482422,30,6
2,0.0169985294342041,34,7
2,0.02055048942565918,37,7
2,0.017974853515625,37,7
2,0.024999380111694336,47,8
2,0.024315834045410156,35,8
2,0.024207592010498047,27,8
2,0.031693458557128906,52,8
2,0.01999950408935547,23,6
2,0.020616769790649414,26,6
2,0.016998767852783203,24,6
2,0.017003774642944336,23,5
2,0.014089107513427734,20,4
2,0.01899886131286621,24,5
2,0.0125274658203125,51,3
2,0.022000551223754883,30,10
2,0.00899648666381836,19,5
2,0.00800466537475586,19,4
2,0.01891303062438965,52,7
3,0.05327558517456055,112,11
3,0.09082269668579102,183,11
3,0.08873414993286133,177,14
3,0.07048773765563965,145,14
3,0.068511962890625,116,13
3,0.05499124526977539,109,14
3,0.04487776756286621,89,10
3,0.04042863845825195,106,11
3,0.02599191665649414,71,9
3,0.035530805587768555,64,9
3,0.056787729263305664,141,9
3,0.033354997634887695,117,13
3,0.0444948673248291,109,12
3,0.039999961853027344,105,9
3,0.052976369857788086,99,13
3,0.08070731163024902,211,20
3,0.04129815101623535,90,12
3,0.04685068130493164,96,13
3,0.06035423278808594,114,21
3,0.013092041015625,31,4
3,0.02413320541381836,51,12
3,0.045761823654174805,100,22
3,0.04100775718688965,87,15
3,0.06243610382080078,105,20
3,0.06626653671264648,118,26
3,0.10674047470092773,119,27
3,0.09563279151916504,276,45
3,0.09042644500732422,247,46
3,0.08353567123413086,228,46
3,0.03391695022583008,65,14
3,0.03823566436767578,91,24
3,0.05927562713623047,84,21
3,0.02985978126525879,82,17
3,0.01991128921508789,70,16
3,0.03390026092529297,68,16
3,0.02707386016845703,62,14
3,0.015992403030395508,33,10
3,0.01742410659790039,29,9
3,0.016988039016723633,39,10
4,0.2514064311981201,234,71
4,0.3977651596069336,396,117
4,0.5043723583221436,585,134
4,0.6165974140167236,877,186
4,0.4469263553619385,431,133
4,0.44177913665771484,728,174
4,0.5969879627227783,861,204
4,0.8947649002075195,1434,324
4,0.5045175552368164,628,196
4,0.2587311267852783,399,116
4,0.15097761154174805,259,77
4,0.3340311050415039,421,151
4,0.2868509292602539,468,119
4,0.277785062789917,604,153
4,0.12890386581420898,323,83
4,0.13171958923339844,262,70
4,0.1232607364654541,323,93
4,0.20380783081054688,340,115
4,0.20505046844482422,352,122
4,0.13663649559020996,244,68
4,0.21304011344909668,418,107
4,0.12642168998718262,207,83
4,0.169722318649292,282,114
4,0.16096854209899902,303,96
4,0.1737971305847168,339,127
4,0.14859604835510254,359,102
4,0.08346772193908691,165,60
4,0.11101555824279785,351,79
4,0.09895205497741699,218,69
4,0.11673212051391602,276,60
4,0.13562583923339844,349,52
4,0.16181635856628418,381,68
4,0.13743352890014648,341,73
4,0.11055612564086914,326,89
4,0.12261652946472168,316,79
4,0.1680128574371338,321,82
4,0.1158456802368164,383,91
4,0.14628052711486816,377,70
4,0.16475629806518555,406,77
4,0.20109319686889648,491,86
4,0.19433307647705078,467,81
4,0.23251795768737793,582,101
4,0.22941327095031738,467,92
5,1.1033546924591064,2322,337
5,1.982412338256836,3334,515
5,1.835845947265625,3120,492
5,0.846510648727417,2082,331
5,1.2085342407226562,2710,487
5,0.9666488170623779,1715,358
5,0.40145301818847656,1068,180
5,0.7056429386138916,1297,203
5,0.6157257556915283,2105,269
5,0.36306309700012207,1107,175
5,0.5600936412811279,1297,214
5,0.17521142959594727,462,89
5,0.2827892303466797,950,125
5,0.3004791736602783,1011,148
5,0.4811840057373047,1270,135
5,0.33526110649108887,1446,123
5,0.5887064933776855,1799,153
5,0.2619647979736328,1149,125
5,0.35848283767700195,1961,178
5,0.23267221450805664,1514,133
6,2.597633123397827,2465,763
6,2.4840173721313477,3593,1057
6,4.78044319152832,7176,1887
6,4.475396633148193,5646,1380
6,6.31354832649231,9242,2092
6,2.36793851852417,4519,1141
6,2.4166927337646484,3199,911
6,3.034543037414551,4963,1392
6,5.330697059631348,7541,2343
6,3.0956461429595947,4720,1385
6,2.0132925510406494,3670,1232
6,4.947528123855591,9904,2924
6,2.0400195121765137,3478,1196
6,2.1966261863708496,3119,1296
6,2.628248453140259,4540,1832
6,3.4590542316436768,6251,2439
6,2.3047361373901367,3348,1406
6,1.7024388313293457,3858,1496
6,2.3974359035491943,4257,1921
6,2.3133370876312256,4794,2211
6,1.0489656925201416,3986,1919
6,2.3474390506744385,2889,896
6,4.947630882263184,5768,1579
6,4.186527252197266,5032,1216
6,7.475351095199585,10756,2850
6,8.47189450263977,12032,3267
6,4.1445770263671875,4097,1144
6,5.592267990112305,7317,2093
6,5.180183172225952,6578,1391
6,5.375298023223877,6129,1966
6,7.81122350692749,9566,2908
6,8.65864372253418,11227,3278
6,2.8070571422576904,3797,1006
6,2.344757318496704,3500,1010
6,3.1469664573669434,4822,1473
1,0.0025055408477783203,8,0
1,0.001996755599975586,9,0
1,0.001984119415283203,8,0
1,0.002094268798828125,8,0
1,0.0019981861114501953,7,0
1,0.0010013580322265625,7,0
1,0.0011219978332519531,8,0
1,0.002908945083618164,8,0
1,0.0010941028594970703,7,0
1,0.0011916160583496094,7,0
1,0.000993490219116211,6,0
1,0.001087188720703125,7,0
1,0.0019965171813964844,8,0
1,0.0009145736694335938,6,0
1,0.0,5,0
1,0.0,5,0
1,0.0019114017486572266,5,0
1,0.0009949207305908203,6,0
1,0.0,5,0
1,0.0,4,0
1,0.0010042190551757812,6,0
1,0.0,5,0
1,0.0010783672332763672,4,0
1,0.0008845329284667969,5,0
1,0.0009980201721191406,3,0
1,0.0010981559753417969,4,0
1,0.002092123031616211,8,0
1,0.002088785171508789,9,0
1,0.001947641372680664,8,0
1,0.0020046234130859375,8,0
1,0.0012154579162597656,10,0
1,0.0027818679809570312,10,0
1,0.002029895782470703,8,0
1,0.0030121803283691406,8,0
1,0.0030548572540283203,10,0
2,0.03032374382019043,62,0
2,0.026995182037353516,72,0
2,0.027343034744262695,78,0
2,0.021347522735595703,56,0
2,0.02610635757446289,70,0
2,0.030863523483276367,66,0
2,0.032004356384277344,88,0
2,0.03302454948425293,99,0
2,0.02589559555053711,73,0
2,0.017948150634765625,62,0
2,0.02554488182067871,74,0
2,0.023944616317749023,85,0
2,0.02909255027770996,90,0
2,0.025011062622070312,83,0
2,0.029046058654785156,82,0
2,0.01999807357788086,77,0
2,0.02122330665588379,58,0
2,0.026102304458618164,77,0
2,0.027981281280517578,74,0
2,0.02024245262145996,56,0
2,0.023337602615356445,87,0
2,0.020078182220458984,74,0
2,0.018004894256591797,93,0
2,0.013003349304199219,70,0
2,0.017011165618896484,80,0
2,0.00688934326171875,37,0
2,0.008980274200439453,50,0
2,0.015248775482177734,67,0
2,0.0068929195404052734,53,0
2,0.013504981994628906,50,0
2,0.007985830307006836,44,0
2,0.010325908660888672,65,0
2,0.007997989654541016,46,0
2,0.008997678756713867,37,0
2,0.012898921966552734,54,0
2,0.008003950119018555,51,0
3,0.12152099609375,468,0
3,0.19398260116577148,654,0
3,0.20949935913085938,537,0
3,0.11854100227355957,358,0
3,0.16507172584533691,468,0
3,0.12596774101257324,330,0
3,0.1791069507598877,496,0
3,0.20326900482177734,651,0
3,0.16175079345703125,594,0
3,0.2682380676269531,876,0
3,0.25200700759887695,841,0
3,0.18699431419372559,699,0
3,0.2789194583892822,1020,0
3,0.23795723915100098,694,0
3,0.13689088821411133,692,0
3,0.26532912254333496,1065,0
3,0.20499897003173828,987,0
3,0.26232385635375977,1410,0
3,0.16250872611999512,637,0
3,0.2233595848083496,882,0
3,0.18163204193115234,853,0
3,0.15589118003845215,657,0
3,0.16273999214172363,652,0
3,0.09264564514160156,391,0
3,0.17893004417419434,746,0
3,0.05556488037109375,218,0
3,0.030734539031982422,132,0
3,0.06250214576721191,253,0
3,0.04557180404663086,197,0
3,0.05453133583068848,240,0
3,0.03598785400390625,190,0
3,0.03432965278625488,191,0
3,0.03356480598449707,191,0
3,0.039284467697143555,190,0
3,0.041584014892578125,207,0
3,0.04950070381164551,281,0
3,0.021999835968017578,174,0
3,0.05647587776184082,287,0
3,0.015075922012329102,61,0
3,0.03199338912963867,138,0
4,1.4254744052886963,3791,0
4,1.46846342086792,4637,0
4,1.550710916519165,5513,0
4,1.7219429016113281,6039,0
4,2.548105239868164,8820,0
4,1.9952266216278076,7143,0
4,3.1414639949798584,10730,0
4,2.1904022693634033,8258,0
4,1.2442257404327393,5048,0
4,0.8524963855743408,3358,0
4,0.802734375,2900,0
4,0.7001652717590332,2356,0
4,0.7087750434875488,2404,0
4,0.6694114208221436,2618,0
4,0.9685797691345215,4326,0
4,0.5804605484008789,2576,0
4,0.43167996406555176,2282,0
4,0.46516990661621094,2386,0
4,0.5160081386566162,3300,0
4,0.3241596221923828,1912,0
4,0.444180965423584,2277,0
4,1.2110862731933594,3791,0
4,1.3495430946350098,4011,0
4,2.1385085582733154,6641,0
4,1.5766069889068604,5290,0
4,1.1851472854614258,3672,0
4,1.2543022632598877,4036,0
4,1.7886812686920166,6400,0
4,1.3202321529388428,4914,0
5,10.429852724075317,30567,0
5,12.108358383178711,42277,0
5,13.353365659713745,34893,0
5,14.241050481796265,53695,0
5,6.996580362319946,23227,0
5,6.9741692543029785,23572,0
5,2.4589099884033203,8446,0
5,3.4921841621398926,13364,0
5,12.03247618675232,44191,0
5,13.351749897003174,60752,0
5,17.11958622932434,77778,0
5,10.238100528717041,48104,0
5,12.176722526550293,64223,0
5,10.549100160598755,50796,0
5,6.63507080078125,35788,0
5,6.368825912475586,34536,0
5,7.755578994750977,42715,0
5,6.336634159088135,38072,0
5,10.302539110183716,62154,0
5,14.127550840377808,83398,0
5,11.13905119895935,62101,0
5,15.834908246994019,99481,0
5,10.181692838668823,55752,0
5,5.954713821411133,34269,0
5,4.418205261230469,25805,0
5,2.749141216278076,18014,0
5,2.7718722820281982,17117,0
5,2.0936059951782227,11565,0
5,2.316363573074341,12654,0
5,3.181816816329956,19125,0
5,1.2589728832244873,7962,0
5,1.6814358234405518,9512,0
6,170.94569301605225,265160,0
6,361.58720541000366,404874,0
6,284.65285325050354,306264,0
6,420.8011291027069,430066,0
6,282.50291562080383,378622,0
6,119.11433863639832,478539,0
6,69.77635025978088,263537,0
6,70.08021593093872,265750,0
6,69.17829847335815,269703,0
6,31.769823789596558,121738,0
6,18.70766305923462,88441,0
6,30.60070538520813,104826,0
6,83.9712917804718,230023,0
6,79.65581011772156,290122,0
6,41.17377257347107,167525,0
6,43.49739074707031,179340,0
6,40.98193097114563,169999,0
6,22.710586309432983,94884,0
6,18.58201766014099,82452,0
6,94.43198418617249,165021,0
6,74.30988502502441,143480,0
6,32.483662605285645,134484,0
6,44.03310585021973,187143,0
6,31.452548503875732,138278,0
6,31.76091170310974,138241,0